"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Unknown risk_pref is not 'low' → returns full watchlist.","0","test_unknown_risk_returns_full_list","backend.newtestone","2026-02-27","passed","2026-02-27","TestSmartBuyRiskUniverseEdgeCases","test_edge_cases","",""
"5 years is the feasible threshold for 'low' risk.","1","test_low_risk_exactly_5yr_feasible","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityRiskTransitionEdgeCases","test_edge_cases","",""
"Negative required_growth should not raise; treated like <= 0.","0","test_negative_required_growth_treated_as_zero_no_exception","backend.newtestone","2026-02-27","passed","2026-02-27","TestSmartBuyScoringEdgeCases","test_edge_cases","",""
"","0","test_two_per_sector_allowed","backend.newtestone","2026-02-27","passed","2026-02-27","TestSmartBuySectorCapEdgeCases","test_edge_cases","",""
"","0","test_moderate_risk_exactly_3yr_feasible","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityRiskTransitionEdgeCases","test_edge_cases","",""
"","0","test_profit_with_zero_invested_guarded","backend.newtestone","2026-02-27","passed","2026-02-27","TestCalculationEdgeCases","test_edge_cases","",""
"","0","test_many_sectors_fills_up_to_n","backend.newtestone","2026-02-27","passed","2026-02-27","TestSmartBuySectorCapEdgeCases","test_edge_cases","",""
"","0","test_two_decimal_rounding_down","backend.newtestone","2026-02-27","passed","2026-02-27","TestCurrencyPrecisionEdgeCases","test_edge_cases","",""
"","0","test_very_large_target_no_overflow","backend.newtestone","2026-02-27","passed","2026-02-27","TestGoalModelEdgeCases","test_edge_cases","",""
"","0","test_two_decimal_rounding_up","backend.newtestone","2026-02-27","passed","2026-02-27","TestCurrencyPrecisionEdgeCases","test_edge_cases","",""
"","0","test_zero_buffer_target_matches_amount","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityBufferEdgeCases","test_edge_cases","",""
"","1","test_year_boundary_dec_31_is_future","backend.newtestone","2026-02-27","passed","2026-02-27","TestDateEdgeCases","test_edge_cases","",""
